
 ################################################## 
TRAIN 	tag: 3-Alex 
Data Prepared:
 	TRAIN:2300
 	VALID:200
 	TEST:800
1 	Train(L=1.690  | A=0.468) 	Valid(L=1.618  | A=0.180) 	Test(L=1.634  | A=0.233) 	> Best
77 	Train(L=1.544  | A=0.240) 	Valid(L=1.556  | A=0.170) 	Test(L=1.550  | A=0.258) 
78 	Train(L=1.544  | A=0.240) 	Valid(L=1.552  | A=0.170) 	Test(L=1.549  | A=0.258) 
79 	Train(L=1.544  | A=0.240) 	Valid(L=1.560  | A=0.170) 	Test(L=1.553  | A=0.258) 
80 	Train(L=1.544  | A=0.240) 	Valid(L=1.558  | A=0.170) 	Test(L=1.561  | A=0.258) 
81 	Train(L=1.544  | A=0.240) 	Valid(L=1.561  | A=0.170) 	Test(L=1.565  | A=0.258) 
82 	Train(L=1.545  | A=0.240) 	Valid(L=1.557  | A=0.170) 	Test(L=1.558  | A=0.258) 
83 	Train(L=1.544  | A=0.240) 	Valid(L=1.548  | A=0.170) 	Test(L=1.558  | A=0.258) 
84 	Train(L=1.544  | A=0.240) 	Valid(L=1.553  | A=0.170) 	Test(L=1.557  | A=0.258) 
85 	Train(L=1.544  | A=0.240) 	Valid(L=1.559  | A=0.170) 	Test(L=1.550  | A=0.258) 
86 	Train(L=1.544  | A=0.240) 	Valid(L=1.564  | A=0.170) 	Test(L=1.554  | A=0.258) 
87 	Train(L=1.544  | A=0.240) 	Valid(L=1.566  | A=0.170) 	Test(L=1.562  | A=0.258) 
88 	Train(L=1.545  | A=0.240) 	Valid(L=1.554  | A=0.170) 	Test(L=1.561  | A=0.258) 
89 	Train(L=1.545  | A=0.240) 	Valid(L=1.557  | A=0.170) 	Test(L=1.549  | A=0.258) 
90 	Train(L=1.544  | A=0.240) 	Valid(L=1.559  | A=0.170) 	Test(L=1.558  | A=0.258) 
91 	Train(L=1.544  | A=0.240) 	Valid(L=1.572  | A=0.170) 	Test(L=1.545  | A=0.258) 
92 	Train(L=1.545  | A=0.239) 	Valid(L=1.559  | A=0.170) 	Test(L=1.550  | A=0.258) 
93 	Train(L=1.544  | A=0.240) 	Valid(L=1.566  | A=0.170) 	Test(L=1.547  | A=0.258) 
94 	Train(L=1.544  | A=0.240) 	Valid(L=1.558  | A=0.170) 	Test(L=1.551  | A=0.258) 
95 	Train(L=1.544  | A=0.240) 	Valid(L=1.560  | A=0.170) 	Test(L=1.562  | A=0.258) 
96 	Train(L=1.544  | A=0.240) 	Valid(L=1.559  | A=0.170) 	Test(L=1.546  | A=0.258) 
97 	Train(L=1.545  | A=0.240) 	Valid(L=1.550  | A=0.170) 	Test(L=1.550  | A=0.258) 
